Product name,ASIN,Condition,Total orders,NCX orders,Fulfilled by,SKU,NCX rate,Top NCX reason,NCX Review Rate,NCX Return Rate,Last updated,pcxHealth
"Vive Chair Stand Assist for Elderly - Portable Standing Up Assistance for Seniors - Self Lift Aid Disabled & Handicap Fall Prevention - Padded Cane Bars Help You Get Up from Couch, Bed, & Floor","B0BPR6KTF5","Used",1,0,"Amazon","X004K6C8AL","0%","--","0%","0%","Feb 12, 2025","Excellent"
"Vive Grab Bar for Bathtubs and Showers - Handicap Bathroom Safety Handrail for Elderly - Wall Senior Rail Handle for Tub, Toilet, Bath","B07CN53952","Used",1,0,"Amazon","X004JMLP05","0%","--","0%","0%","Jan 26, 2025","Excellent"
"Vive Raised Toilet Seat (Elongated - Adds 3.5 Inches) - Elevated Toilet Seat Riser & Extender for Seniors - High Rise Toilet Extension for Elderly - Commode Toilet Booster for Adult - FSA/HSA Eligible","B074JBDZ1Q","Used",1,0,"Amazon","X004JLPUEN","0%","--","0%","0%","Feb 5, 2025","Excellent"
"Vive Chair Stand Assist for Elderly - Portable Standing Up Assistance for Seniors - Self Lift Aid Disabled & Handicap Fall Prevention - Padded Cane Bars Help You Get Up from Couch, Bed, & Floor","B0BPR6KTF5","Used",1,0,"Amazon","X004J6CMZ3","0%","--","0%","0%","Jan 19, 2025","Excellent"
"Vive Balance Pad - Foam Board Yoga Mat Block for Physical Therapy, Stability, Workout, Knee and Ankle Exercise - Equipment for Strength Training, Rehab - Large Floor Pad for Adults, Kids","B07CP256RF","Used",1,0,"Amazon","X004J2S3WN","0%","--","0%","0%","Jan 16, 2025","Excellent"
"Vive Hand Strengthener Grip Ring (4 Pack) - Forearm Ring Hand Exercisers - Silicone Squeezer Gripper for Muscle Strengthening Training Tool - Arthritis Finger Physical Therapy PT Kit Trainer","B0CPYR6HGL","Used",1,0,"Amazon","X004IXSBQ1","0%","--","0%","0%","Jan 17, 2025","Excellent"
"Vive Mobility Scooter Basket (12"" x 8.5"") - Accessory for 3 & 4-Wheel Scooters - Large Front Storage Attachment for Shopping with Carrying Handle for Travel - Easy to Assemble Replacement Part","B086DW899W","Used",1,0,"Amazon","X004IVDRN5","0%","--","0%","0%","Jan 13, 2025","Excellent"
"Vive Mobility Knee Walker Padded Gel Cover - Premium Comfort Gel Cushion, Accessory for Knee Scooters, Padded Accessories, Leg Cart Roller Improves Comfort During Injury, Fits Most Knee Trollys (Blue)","B09XXW3BHK","Used",1,0,"Amazon","X004IAPYEB","0%","--","0%","0%","Dec 28, 2024","Excellent"
"Vive Forearm Crutch Bag - Lightweight & Waterproof Forearm Crutch Accessories Storage Pouch with Triangle Shape - Universal Crutch Accessories Bag with Mesh Pocket to Organize Daily Essentials","B0BL1WWKYW","Used",1,0,"Amazon","X004I7MUHX","0%","--","0%","0%","Jan 12, 2025","Excellent"
"Vive Side Bag for Rollators, Wheelchairs, Walkers - Tote Organizer with Phone Pocket - Storage Travel Pouch - Small Hanging Stroller Accessories for Women, Men, Seniors - Non Slip Cup Holder","B09314497P","Used",1,0,"Amazon","X004HVMF5R","0%","--","0%","0%","Jan 18, 2025","Excellent"
