SKU,Name,Category,Sold,Returned,Return_Rate,Return_Rate_Threshold,Landed_Cost,Complaint_Text,Safety_Risk,Severity,Data_Snapshot_Date
SUP1041BGEFBM,Shoulder Brace - Rotator Cuff,SUP,108,68,0.6296,0.14,54.32,"Material quality - stitching came apart, Velcro doesn't hold, Doesn't provide enough support",FALSE,Critical,2026-01-14
LVA3016BLK,Portable Stand Assist (Black),LVA,356,178,0.5001,0.185,78.45,"Assembly too difficult, Stability concerns - wobbly, Parts missing from box",TRUE,Critical,2026-01-14
RHB2096BLKL,Closed Toe Post OP Shoe,RHB,3352,1023,0.3052,0.24,34.21,"Sizing issues - too small, Instructions unclear, Material quality substandard",FALSE,High,2026-01-14
CSH1084BLK,Alternating Seat Cushion,CSH,741,197,0.2658,0.18,87.12,"Cushion flattens quickly, Doesn't stay in place, Foam density too low",FALSE,High,2026-01-14
SUP1026,Groin Wrap by Vive,SUP,1956,512,0.2617,0.20,9.45,"Too tight, causes discomfort, Straps break after short use, Velcro doesn't hold",FALSE,High,2026-01-14
RHB2012BLKL,Offloading Post Op Shoe (Large),RHB,5241,1303,0.2486,0.24,19.87,"Sizing issues - too large, Uncomfortable during use, Not durable for daily use",FALSE,High,2026-01-14
MOB1029LFBM,Folding Electric Wheelchair,MOB,9,2,0.2442,0.15,542.33,"Battery doesn't hold charge, Assembly issues, Seat uncomfortable for long use",FALSE,High,2026-01-14
SUP1035L,Hard Night Splint,SUP,867,227,0.2618,0.12,15.42,"Material quality - fabric tears easily, Too tight causes discomfort, Skin irritation from material",FALSE,Critical,2026-01-14
SUP1037BLKM,Plantar Fasciitis Night Splint,SUP,10198,1978,0.1939,0.12,18.76,"Sizing issues - too small, Doesn't provide enough support, Velcro doesn't hold",FALSE,High,2026-01-14
RHB2011BLKL,Heel Wedge Post Op Shoe (Large),RHB,5433,1198,0.2205,0.24,17.34,"Sizing inconsistent, Physical therapy ineffective, Material quality substandard",FALSE,Medium,2026-01-14
SUP1036S,Post Op Shoe By Vive (Small),SUP,34838,8145,0.2338,0.24,11.23,"Sizing issues - too small, Material quality - stitching came apart, Velcro doesn't hold",FALSE,Medium,2026-01-14
MOB1094BLUFBM,Electric Wheelchair Model C,MOB,19,4,0.2104,0.15,487.22,"Motor makes loud noise, Weight limit lower than stated, Remote control doesn't work",FALSE,High,2026-01-14
LVA1082,5 Inch Alternating Pressure Mattress,LVA,515,118,0.2291,0.18,78.54,"Assembly instructions missing, Not as pictured, Hardware quality poor",FALSE,High,2026-01-14
